x, "1", "10", "102", "1024", "109", "112", "12", "128", "1280", "13", "1344", "14", "1408", "144", "1536", "16", "160", "1600", "1632", "170", "176", "18", "19", "192", "2", "200", "208", "21", "224", "24", "240", "248", "25", "256", "27", "272", "28", "280", "288", "3", "304", "32", "320", "3200", "336", "352", "36", "38", "384", "4", "416", "42", "448", "48", "480", "4992", "5", "51", "512", "54", "544", "56", "576", "6", "64", "640", "672", "7", "704", "73", "76", "768", "8", "80", "848", "85", "880", "9", "96", "960"
"1", 159, 233, 0, 0, 0, 0, 2, 0, 0, 0, 0, 868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
"10", 11, 243929, 0, 0, 0, 0, 848, 2099, 0, 112, 0, 38, 0, 0, 0, 5381, 2, 0, 0, 0, 0, 91, 0, 732, 262, 0, 0, 8572, 0, 326, 0, 0, 20, 605, 16, 0, 302, 0, 0, 26, 0, 18865, 1, 0, 0, 0, 9, 2, 56, 391, 0, 409, 0, 1088, 0, 0, 10366, 19, 0, 12, 0, 11, 0, 170, 9500, 0, 0, 26, 0, 0, 0, 0, 3850, 0, 0, 2, 0, 1282, 1350, 0
"102", 0, 0, 1, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
"1024", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"109", 0, 0, 0, 0, 11, 0, 2, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"112", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"12", 0, 1261, 0, 0, 0, 0, 31388, 295, 0, 15, 0, 11, 0, 0, 0, 9059, 2, 0, 0, 0, 0, 15, 1, 154, 554, 0, 0, 217, 0, 2834, 0, 0, 2688, 84, 0, 0, 0, 0, 0, 178, 0, 2449, 0, 0, 0, 0, 3, 0, 5, 9229, 0, 10, 0, 1631, 0, 0, 365, 230, 1, 1, 0, 0, 0, 5433, 1458, 0, 0, 154, 1, 0, 3, 0, 2082, 0, 0, 2, 0, 424, 250, 0
"128", 0, 1744, 124, 16, 0, 0, 426, 919810, 0, 47, 0, 61, 0, 5, 2, 18410, 365, 1, 0, 6, 0, 342, 0, 31689, 542, 5, 0, 4911, 57, 313, 0, 0, 281, 121902, 23, 0, 8, 0, 26, 36, 0, 101583, 212, 0, 0, 2, 31, 9, 5484, 1177, 0, 2450, 36, 12007, 0, 1, 487, 49, 1646, 17, 0, 3, 36, 118, 475075, 10, 0, 93, 0, 0, 42, 36, 2681, 0, 0, 273, 1, 1469, 25398, 0
"1280", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"13", 0, 36, 0, 0, 0, 0, 21, 183, 0, 16108, 0, 17, 0, 0, 0, 301, 0, 0, 0, 0, 0, 4245, 2, 52, 6, 0, 0, 16, 0, 3, 0, 0, 17, 26, 1528, 0, 1, 0, 0, 7, 0, 621, 0, 0, 0, 0, 206, 9, 1, 4245, 0, 2, 0, 25, 0, 0, 80, 0, 0, 50, 0, 0, 0, 1668, 870, 0, 0, 24, 0, 28, 0, 0, 466, 0, 0, 2, 0, 7767, 62, 0
"1344", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"14", 1102, 21, 0, 0, 0, 0, 5, 70, 0, 0, 0, 6120, 0, 0, 0, 59, 0, 0, 0, 0, 0, 23, 0, 10, 0, 0, 0, 107, 0, 0, 0, 0, 13, 51, 0, 0, 495, 0, 0, 69, 0, 122, 0, 0, 0, 0, 8, 0, 0, 29, 0, 133, 0, 3, 0, 0, 24, 0, 0, 0, 0, 64, 0, 209, 195, 0, 0, 585, 0, 0, 0, 0, 28, 0, 0, 1, 0, 15, 3, 0
"1408", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
