x, "1", "10", "11", "12", "13", "14", "15", "16", "17", "18", "19", "2", "20", "21", "22", "23", "24", "25", "26", "27", "28", "29", "3", "30", "31", "4", "5", "6", "7", "8", "9"
"1", 1.31768e+07, 206, 142, 105, 78, 158, 136, 108, 144, 88, 82, 384443, 61, 74, 161, 171, 57, 99, 43, 35, 36, 54, 96806, 29, 14, 13209, 1475, 1138, 656, 416, 311
"10", 194, 205, 106, 15, 2, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 4, 4, 14, 23, 233
"11", 118, 76, 323, 102, 22, 3, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"12", 117, 16, 81, 488, 116, 29, 4, 2, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1
"13", 95, 1, 15, 105, 250, 88, 27, 3, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4
"14", 142, 3, 5, 30, 85, 187, 184, 22, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
"15", 125, 0, 1, 4, 27, 174, 193, 96, 11, 1, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"16", 109, 0, 1, 2, 4, 22, 89, 373, 69, 5, 4, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
"17", 100, 0, 0, 0, 2, 3, 11, 66, 162, 215, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
"18", 122, 0, 0, 0, 0, 0, 1, 9, 165, 294, 100, 0, 15, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"19", 86, 0, 0, 0, 0, 0, 0, 4, 20, 86, 208, 0, 68, 41, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"2", 384980, 1, 1, 7, 4, 1, 3, 2, 2, 1, 8, 529067, 8, 21, 0, 1, 0, 0, 0, 0, 0, 0, 20162, 0, 0, 2953, 328, 113, 35, 22, 17
"20", 69, 0, 0, 0, 0, 0, 0, 1, 3, 10, 57, 0, 182, 89, 16, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
"21", 87, 0, 0, 0, 0, 0, 0, 0, 0, 12, 39, 0, 81, 819, 71, 18, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"22", 138, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 15, 57, 371, 237, 22, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"23", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 200, 355, 126, 12, 2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0
"24", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 101, 97, 44, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0
"25", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 14, 31, 146, 79, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"26", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 8, 66, 82, 27, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"27", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 2, 15, 67, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
"28", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 18, 69, 16, 0, 2, 2, 0, 3, 1, 0, 0, 0
"29", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19, 127, 0, 15, 19, 0, 1, 1, 0, 0, 0
"3", 95839, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79481, 0, 0, 4741, 471, 102, 27, 6, 1
"30", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 25, 5, 0, 1, 0, 0, 0, 0
